,Section Text
679,"(1) Where the gross total income of an assessee includes any profits and gains derived from the business of developing and building housing projects, there shall, subject to the provisions of this section, be allowed, a deduction of an amount equal to hundred per cent of the profits and gains derived from such business.
(2) For the purposes of sub-section (1), a housing project shall be a project which fulfils the following conditions, namely:â€”
(a) the project is approved by the competent authority after the 1st day of June, 2016, but on or before the 31st day of March, 2[2020];
(b) the project is completed within a period of 3[five years] from the date of approval by the competent authority:
Provided that,â€”
(i) where the approval in respect of a housing project is obtained more than once, the project shall be deemed to have been approved on the date on which the building plan of such housing project was first approved by the competent authority; and
(ii) the project shall be deemed to have been completed when a certificate of completion of project as a whole is obtained in writing from the competent authority;
(c) the 4[carpet area] of the shops and other commercial establishments included in the housing project does not exceed three per cent. of the aggregate 4[carpet area];
(d) the project is on a plot of land measuring not less thanâ€”
(i) one thousand square metres, where the project is located within the cities of Chennai, Delhi, Kolkata or Mumbai 5***; or
(ii) two thousand square metres, where the project is located in any other place;
(e) the project is the only housing project on the plot of land as specified in clause (d);
(f) the 4[carpet area] of the residential unit comprised in the housing project does not exceedâ€”
(i) thirty square metres, where the project is located within the cities of Chennai, Delhi, Kolkata or Mumbai 5***; or
(ii) sixty square metres, where the project is located in any other place;
(g) where a residential unit in the housing project is allotted to an individual, no other residential unit in the housing project shall be allotted to the individual or the spouse or the minor children of such individual;
(h) the project utilisesâ€”
(i) not less than ninety per cent of the floor area ratio permissible in respect of the plot of land under the rules to be made by the Central Government or the State Government or the local authority, as the case may be, where the project is located within the cities of Chennai, Delhi, Kolkata or Mumbai 1*** , or
(ii) not less than eighty per cent of such floor area ratio where such project is located in any place other than the place referred to in sub-clause (i); and
(i) the assessee maintains separate books of account in respect of the housing project.
(3) Nothing contained in this section shall apply to any assessee who executes the housing project as a works-contract awarded by any person (including the Central Government or the State Government).
(4) Where the housing project is not completed within the period specified under clause (b) of sub-section (2) and in respect of which a deduction has been claimed and allowed under this section, the total amount of deduction so claimed and allowed in one or more previous years, shall be deemed to be the income of the assessee chargeable under the head â€œProfits and gains of business or professionâ€ of the previous year in which the period for completion so expires.
(5) Where any amount of profits and gains derived from the business of developing and building housing projects is claimed and allowed under this section for any assessment year, deduction to the extent of such profit and gains shall not be allowed under any other provisions of this Act.
(6) For the purposes of this section,â€”
2[(a) â€œcarpet areaâ€ shall have the same meaning as assigned to it in clause (k) of section 2 of the Real Estate (Regulation and Development) Act, 2016 (16 of 2016).]
(b) â€œcompetent authorityâ€ means the authority empowered to approve the building plan by or under any law for the time being in force;
(c) â€œfloor area ratioâ€ means the quotient obtained by dividing the total covered area of plinth area on all the floors by the area of the plot of land;
(d) â€œhousing projectâ€ means a project consisting predominantly of residential units with such other facilities and amenities as the competent authority may approve subject to the provisions of this section;
(e) â€œresidential unitâ€ means an independent housing unit with separate facilities for living, cooking and sanitary requirements, distinctly separated from other residential units within the building, which is directly accessible from an outer door or through an interior door in a shared hallway and not by walking through the living space of another household.]
"
680,"(1) Where the gross total income of an assessee includes any profits and gains derived by an undertaking or an enterprise from any business referred to in sub-section (2), there shall, in accordance with and subject to the provisions of this section, be allowed, in computing the total income of the assessee, a deduction from such profits and gains, as specified in sub-section (3).
(2) This section applies to any undertaking or enterprise,â€”
(a) which has begun or begins to manufacture or produce any article or thing, not being any article or thing specified in the Thirteenth Schedule, or which manufactures or produces any article or thing, not being any article or thing specified in the Thirteenth Schedule and undertakes substantial expansion during the period beginningâ€”
(i) on the 23rd day of December, 2002 and ending before the 2[1st day of April, 2007], in any Export Processing Zone or Integrated Infrastructure Development Centre or Industrial Growth Centre or Industrial Estate or Industrial Park or Software Technology Park or Industrial Area or Theme Park, as notified by the Board in accordance with the scheme framed and notified by the Central Government in this regard, in the State of Sikkim; or
(ii) on the 7th day of January, 2003 and ending before the 1st day of April, 2012, in any Export Processing Zone or Integrated Infrastructure Development Centre or Industrial Growth Centre or Industrial Estate or Industrial Park or Software Technology Park or Industrial Area or Theme Park, as notified by the Board in accordance with the scheme framed and notified by the Central Government in this regard, in the State of Himachal Pradesh or the State of Uttaranchal; or
(iii) on the 24th day of December, 1997 and ending before the 1st day of April, 2007, in any Export Processing Zone or Integrated Infrastructure Development Centre or Industrial Growth Centre or Industrial Estate or Industrial Park or Software Technology Park or Industrial Area or Theme Park, as notified by the Board in accordance with the scheme framed and notified by the Central Government in this regard, in any of the North-Eastern States;
(b) which has begun or begins to manufacture or produce any article or thing, specified in the Fourteenth Schedule or commences any operation specified in that Schedule, or which manufactures or produces any article or thing, specified in the Fourteenth Schedule or commences any operation specified in that Schedule and undertakes substantial expansion during the period beginningâ€”
(i) on the 23rd day of December, 2002 and ending before the 2[1st day of April, 2007], in the State of Sikkim; or
(ii) on the 7th day of January, 2003 and ending before the 1st day of April, 2012, in the State of Himachal Pradesh or the State of Uttaranchal; or
(iii) on the 24th day of December, 1997 and ending before the 1st day of April, 2007, in any of the North-Eastern States.
(3) The deduction referred to in sub-section (1) shall beâ€”
(i) in the case of any undertaking or enterprise referred to in sub-clauses (i) and (iii) of clause (a) or sub-clauses (i) and (iii) of clause (b), of sub-section (2), one hundred per cent. of such profits and gains for ten assessment years commencing with the initial assessment year;
(ii) in the case of any undertaking or enterprise referred to in sub-clause (ii) of clause (a) or sub-clause (ii) of clause (b), of sub-section (2), one hundred per cent of such profits and gains for five assessment years commencing with the initial assessment year and thereafter, twenty-five per cent. (or thirty per cent. where the assessee is a company) of the profits and gains.
(4) This section applies to any undertaking or enterprise which fulfils all the following conditions, namely:â€”
(i) it is not formed by splitting up, or the reconstruction, of a business already in existence :
Provided that this condition shall not apply in respect of an undertaking which is formed as a result of the re-establishment, reconstruction or revival by the assessee of the business of any such undertaking as is referred to in section 33B, in the circumstances and within the period specified in that section;
(ii) it is not formed by the transfer to a new business of machinery or plant previously used for any purpose.
Explanation.â€”The provisions of Explanations 1 and 2 to sub-section (3) of sectopm 80-IA shall apply for the purposes of clause (ii) of this sub-section as they apply for the purposes of clause (ii) of that sub-section.
(5) Notwithstanding anything contained in any other provision of this Act, in computing the total income of the assessee, no deduction shall be allowed under any other section contained in Chapter VIA or in section 10A or section 10B, in relation to the profits and gains of the undertaking or enterprise.
(6) Notwithstanding anything contained in this Act, no deduction shall be allowed to any undertaking or enterprise under this section, where the total period of deduction inclusive of the period of deduction under this section, or under the second proviso to sub-section (4) of section 80-IB or under section 10C, as the case may be, exceeds ten assessment years.
(7) The provisions contained in sub-section (5) and sub-sections (7) to (12) of section 80-IA shall, so far as may be, apply to the eligible undertaking or enterprise under this section.
(8) For the purposes of this section,â€”
(i) â€œIndustrial Areaâ€ means such areas, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government;
(ii) â€œIndustrial Estateâ€ means such estates, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government;
(iii) â€œIndustrial Growth Centreâ€ means such centres, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government;
(iv) â€œIndustrial Parkâ€ means such parks, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government;
(v) â€œInitial assessment yearâ€ means the assessment year relevant to the previous year in which the undertaking or the enterprise begins to manufacture or produce articles or things, or commences operation or completes substantial expansion;
(vi) â€œIntegrated Infrastructure Development Centreâ€ means such centres, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government;
(vii) â€œNorth-Eastern Statesâ€ means the States of Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland and Tripura;
(viii) â€œSoftware Technology Parkâ€ means any park set up in accordance with the Software Technology Park Scheme notified by the Government of India in the Ministry of Commerce and Industry;
(ix) â€œSubstantial expansionâ€ means increase in the investment in the plant and machinery by at least fifty per cent of the book value of plant and machinery (before taking depreciation in any year), as on the first day of the previous year in which the substantial expansion is undertaken;
(x) â€œTheme Parkâ€ means such parks, which the Board, may, by notification in the Official Gazette, specify in accordance with the scheme framed and notified by the Central Government.]
"
681,"(1) Where the gross total income of an assessee includes any profits and gains derived by an undertaking from any business referred to in sub-section (2) (such business being hereinafter referred to as the eligible business), there shall, in accordance with and subject to the provisions of this section, be allowed, in computing the total income of the assessee, a deduction of an amount equal to hundred per cent of the profits and gains derived from such business for five consecutive assessment years beginning from the initial assessment year.
(2) This section applies to any undertaking,â€”
(i) engaged in the business of hotel located in the specified area, if such hotel is constructed and has started or starts functioning at any time during the period beginning on the 1st day of April, 2007 and ending on 2[the 31st day of July, 2010]; or
(ii) engaged in the business of building, owning and operating a convention centre, located in the specified area, if such convention centre is constructed at any time during the period beginning on the 1st day of April, 2007 and ending on 2[the 31st day of July, 2010];
3[(iii) engaged in the business of hotel located in the specified district having a World Heritage Site, if such hotel is constructed and has started or starts functioning at any time during the period beginning on the 1st day of April, 2008 and ending on the 31st day of March, 2013.]
(3) The deduction under sub-section (1) shall be available only ifâ€”
(i) the eligible business is not formed by the splitting up, or the reconstruction, of a business already in existence;
(ii) the eligible business is not formed by the transfer to a new business of a building previously used as a hotel or a convention centre, as the case may be;
(iii) the eligible business is not formed by the transfer to a new business of machinery or plant previously used for any purpose.
Explanation.â€”The provisions of Explanations 1 and 2 to sub-section (3) of section 80-IA shall apply for the purposes of clause (iii) of this sub-section as they apply for the purposes of clause (ii) of that sub-section;
(iv) the assessee furnishes along with the return of income, the report of an audit in such form and containing such particulars as may be prescribed, and duly signed and verified by an accountant, as defined in the Explanation below sub-section (2) of section 288, certifying that the deduction has been correctly claimed.
(4) Notwithstanding anything contained in any other provision of this Act, in computing the total income of the assessee, no deduction shall be allowed under any other section contained in Chapter VIA or section 10AA, in relation to the profits and gains of the undertaking.
(5) The provisions contained in sub-section (5) and sub-sections (8) to (11) of section 80-IA shall, so far as may be, apply to the eligible business under this section.
(6) For the purposes of this section,â€”
(a) â€œconvention centreâ€ means a building of a prescribed area comprising of convention halls to be used for the purpose of holding conferences and seminars, being of such size and number and having such other facilities and amenities, as may be prescribed;
(b) â€œhotelâ€ means a hotel of two-star, three-star or four-star category as classified by the Central Government;
(c) â€œinitial assessment yearâ€â€”
(i) in the case of a hotel, means the assessment year relevant to the previous year in which the business of the hotel starts functioning;
(ii) in the case of a convention centre, means the assessment year relevant to the previous year in which the convention centre starts operating on a commercial basis;
(d) â€œspecified areaâ€ means the National Capital Territory of Delhi and the districts of Faridabad, Gurgaon, Gautam Budh Nagar and Ghaziabad;]
1[(e) â€œspecified district having a World Heritage Siteâ€ means districts, specified in column (2) of the Table below, of the States, specified in the corresponding entry in column (3) of the said Table:
TABLE
S.No. Name of district Name of State
(1) (2) (3)
1. Agra Uttar Pradesh
2. Jalgaon Maharashtra
3. Aurangabad Maharashtra
4. Kancheepuram Tamil Nadu
5. Puri Orissa
6. Bharatpur Rajasthan
7. Chhatarpur Madhya Pradesh
8. Thanjavur Tamil Nadu
9. Bellary Karnataka
10. South 24 Parganas West Bengal
(excluding areas falling within the Kolkata urban agglomeration on the basis of the 2001 census)
11. Chamoli Uttarakhand
12. Raisen Madhya Pradesh
13. Gaya Bihar
14. Bhopal Madhya Pradesh
15. Panchmahal Gujarat
16. Kamrup Assam
17. Goalpara Assam
18. Nagaon Assam
19. North Goa Goa
20. South Goa Goa
21. Darjeeling West Bengal
22. Nilgiri Tamil Nadu.]
"
682,"(1) Where the gross total income of an assessee includes any profits and gains derived by an undertaking, to which this section applies, from any business referred to in sub-section (2), there shall be allowed, in computing the total income of the assessee, a deduction of an amount equal to hundred per cent of the profits and gains derived from such business for ten consecutive assessment years commencing with the initial assessment year.
(2) This section applies to any undertaking which has, during the period beginning on the 1st day of April, 2007 and ending before the 1st day of April, 2017, begun or begins, in any of the North-Eastern States,â€”
(i) to manufacture or produce any eligible article or thing;
(ii) to undertake substantial expansion to manufacture or produce any eligible article or thing;
(iii) to carry on any eligible business.
(3) This section applies to any undertaking which fulfils all the following conditions, namely:â€”
(i) it is not formed by splitting up, or the reconstruction, of a business already in existence:
Provided that this condition shall not apply in respect of an undertaking which is formed as a result of the re-establishment, reconstruction or revival by the assessee of the business of any such undertaking as referred to in section 33B, in the circumstances and within the period specified in the said section;
(ii) it is not formed by the transfer to a new business of machinery or plant previously used for any purpose.
Explanation.â€”The provisions of Explanations 1 and 2 to sub-section (3) of section 80-IA shall apply for the purposes of clause (ii) of this sub-section as they apply for the purposes of clause (ii) of that sub-section.
(4) Notwithstanding anything contained in any other provision of this Act, in computing the total income of the assessee, no deduction shall be allowed under any other section contained in Chapter VIA or in section 10A or section 10AA or section 10B or section 10BA, in relation to the profits and gains of the undertaking.
(5) Notwithstanding anything contained in this Act, no deduction shall be allowed to any undertaking under this section, where the total period of deduction inclusive of the period of deduction under this section, or under section 80-IC or under the second proviso to sub-section (4) of section 80-IB or under section 10C, as the case may be, exceeds ten assessment years.
(6) The provisions contained in sub-section (5) and sub-sections (7) to (12) of section 80-IA shall, so far as may be, apply to the eligible undertaking under this section.
(7) For the purposes of this section,â€”
(i) â€œinitial assessment yearâ€ means the assessment year relevant to the previous year in which the undertaking begins to manufacture or produce articles or things, or completes substantial expansion;
(ii) â€œNorth-Eastern Statesâ€ means the States of Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim and Tripura;
(iii) â€œsubstantial expansionâ€ means increase in the investment in the plant and machinery by at least twenty-five per cent of the book value of plant and machinery (before taking depreciation in any year), as on the first day of the previous year in which the substantial expansion is undertaken;
(iv) â€œeligible article or thingâ€ means the article or thing other than the following :â€”
(a) goods falling under Chapter 24 of the First Schedule to the Central Excise Tariff Act, 1985 (5 of 1986), which pertains to tobacco and manufactured tobacco substitutes;
(b) pan masala as covered under Chapter 21 of the First Schedule to the Central Excise Tariff Act, 1985 (5 of 1986);
(c) plastic carry bags of less than 20 microns as specified by the Ministry of Environment and Forests vide Notification No. S.O. 705(E), dated the 2nd September, 1999 and S.O. 698(E), dated the 17th June, 2003; and
(d) goods falling under Chapter 27 of the First Schedule to the Central Excise Tariff Act, 1985 (5 of 1986), produced by petroleum oil or gas refineries;
(v) â€œeligible businessâ€ means the business of,â€”
(a) hotel (not below two star category);
(b) adventure and leisure sports including ropeways;
(c) providing medical and health services in the nature of nursing home with a minimum capacity of 25 beds;
(d) running an old-age home;
(e) operating vocational training institute for hotel management, catering and food craft, entrepreneurship development, nursing and para-medical, civil aviation related training, fashion designing and industrial training;
(f) running information technology related training centre;
(g) manufacturing of information technology hardware; and
(h) bio-technology.]
"
683,"[Deduction in respect of profits and gains from newly established industrial undertakings or ships or hotel business in certain cases].â€”Omitted by the Finance (No. 2) Act, 1996 (33 of 1996), s. 29 (w.r.e.f. 1-4-1989).
"
684,"[Deduction in respect of profits and gains from business of poultry farming].â€”Omitted by the Finance Act, 1997 (26 of 1997), s. 26 (w.e.f. 1-4-1998).
"
685,"Where the gross total income of an assessee includes any profits and gains derived from the business of collecting and processing or treating of bio-degradable waste for generating power 2[or producing bio-fertilizers, bio-pesticides or other biological agents or for producing bio-gas or] making pellets or briquettes for fuel or organic manure, there shall be allowed, in computing the total income of the assessee, 3[a deduction of an amount equal to the whole of such profits and gains for a period of five consecutive assessment years beginning with the assessment year relevant to the previous year in which such business commences].
"
686,"(1) Where the gross total income of an assessee to whom section 44AB applies, includes any profits and gains derived from business, there shall, subject to the conditions specified in sub-section (2), be allowed a deduction of an amount equal to thirty per cent. of additional employee cost incurred in the course of such business in the previous year, for three assessment years including the assessment year relevant to the previous year in which such employment is provided.
(2) No deduction under sub-section (1) shall be allowed,â€”
(a) if the business is formed by splitting up, or the reconstruction, of an existing business:
Provided that nothing contained in this clause shall apply in respect of a business which is formed as a result of re-establishment, reconstruction or revival by the assessee of the business in the circumstances and within the period specified in section 33B;
(b) if the business is acquired by the assessee by way of transfer from any other person or as a result of any business reorganisation;
(c) unless the assessee furnishes alongwith the return of income the report of the accountant, as defined in the Explanation to section 288 giving such particulars in the report as may be prescribed.
Explanation.â€”For the purposes of this section,â€”
(i) â€œadditional employee costâ€ means total emoluments paid or payable to additional employees employed during the previous year:
Provided that in the case of an existing business, the additional employee cost shall be nil, ifâ€”
(a) there is no increase in the number of employees from the total number of employees employed as on the last day of the preceding year;
(b) emoluments are paid otherwise than by an account payee cheque or account payee bank draft or by use of electronic clearing system through a bank account:
Provided further that in the first year of a new business, emoluments paid or payable to employees employed during that previous year shall be deemed to be the additional employee cost;
(ii) â€œadditional employeeâ€ means an employee who has been employed during the previous year and whose employment has the effect of increasing the total number of employees employed by the employer as on the last day of the preceding year, but does not include,â€”
(a) an employee whose total emoluments are more than twenty-five thousand rupees per month; or
(b) an employee for whom the entire contribution is paid by the Government under the Employeesâ€™ Pension Scheme notified in accordance with the provisions of the Employeesâ€™ Provident Funds and Miscellaneous Provisions Act, 1952 (19 of 1952); or
(c) an employee employed for a period of less than two hundred and forty days during the previous year; or
(d) an employee who does not participate in the recognised provident fund:
1[Provided that in the case of an assessee who is engaged in the business of manufacturing of apparel, 2[or footwear or leather products] the provisions of sub-clause (c) shall have effect as if for the words â€œtwo hundred and forty daysâ€, the words â€œone hundred and fifty daysâ€ had been substituted:]
1[Provided further that where an employee is employed during the previous year for a period of less than two hundred and forty days or one hundred and fifty days, as the case may be, but is employed for a period of two hundred and forty days or one hundred and fifty days, as the case may be, in the immediately succeeding year, he shall be deemed to have been employed in the succeeding year and the provisions of this section shall apply accordingly;]
(iii) â€œemolumentsâ€ means any sum paid or payable to an employee in lieu of his employment by whatever name called, but does not includeâ€”
(a) any contribution paid or payable by the employer to any pension fund or provident fund or any other fund for the benefit of the employee under any law for the time being in force; and
(b) any lump-sum payment paid or payable to an employee at the time of termination of his service or superannuation or voluntary retirement, such as gratuity, severance pay, leave encashment, voluntary retrenchment benefits, commutation of pension and the like.
(3) The provisions of this section, as they stood immediately prior to their amendment by the Finance Act, 2016, shall apply to an assessee eligible to claim any deduction for any assessment year commencing on or before the 1st day of April, 2016.]
"
687,"[Deduction in respect of dividends attributable to profits and gains from new industrial undertakings or ships or hotel business].â€”Omitted by the Finance Act, 1986 (23 of 1986), s. 19 (w.e.f. 1-4-1987).
"
688,"[Deductions in respect of interest on certain securities, dividends, etc].â€”Omitted by the Finance Act, 2005 (18 of 2005), s. 28 (w.e.f. 1-4-2006).
"
689,"(1) Where the gross total income of an assessee,â€”
(i) being a scheduled bank, or, any bank incorporated by or under the laws of a country outside India; and having an Offshore Banking Unit in a Special Economic Zone; or
(ii) being a Unit of an International Financial Services Centre,
includes any income referred to in sub-section (2), there shall be allowed, in accordance with and subject to the provisions of this section, a deduction from such income, of an amount equal toâ€”
(a) one hundred per cent of such income for five consecutive assessment years beginning with the assessment year relevant to the previous year in which the permission, under clause (a) of sub- section (1) of section 23 of the Banking Regulation Act, 1949 (10 of 1949) or permission or registration under the Securities and Exchange Board of India Act, 1992 (15 of 1992) or any other relevant law was obtained, and thereafter;
(b) fifty per cent. of such income for five consecutive assessment years.
(2) The income referred to in sub-section (1) shall be the incomeâ€”
(a) from an Offshore Banking Unit in a Special Economic Zone; or
(b) from the business referred to in sub-section (1) of section 6 of the Banking Regulation Act, 1949 (10 of 1949) with an undertaking located in a Special Economic Zone or any other undertaking which develops, develops and operates or develops, operates and maintains a Special Economic Zone; or
(c) from any Unit of the International Financial Services Centre from its business for which it has been approved for setting up in such a Centre in a Special Economic Zone.
(3) No deduction under this section shall be allowed unless the assessee furnishes along with the return of income,â€”
(i) the report, in the form specified by the Central Board of Direct Taxes under clause (i) of sub-section (2) of section 80LA, as it stood immediately before its substitution by this section, of an accountant as defined in the Explanation below sub-section (2) of section 288, certifying that the deduction has been correctly claimed in accordance with the provisions of this section; and
(ii) a copy of the permission obtained under clause (a) of sub-section (1) of section 23 of the Banking Regulation Act, 1949 (10 of 1949).
Explanation.â€”For the purposes of this section,â€”
(a) â€œInternational Financial Services Centreâ€ shall have the same meaning as assigned to it in clause (q) of section 2 of the Special Economic Zones Act, 2005;
(b) â€œscheduled bankâ€ shall have the same meaning as assigned to it in clause (e) of section 2 of the Reserve Bank of India Act, 1934 (2 of 1934);
(c) â€œSpecial Economic Zoneâ€ shall have the same meaning as assigned to it in clause (za) of section 2 of the Special Economic Zones Act, 2005;
(d) â€œUnitâ€ shall have the same meaning as assigned to it in clause (zc) of section 2 of the Special Economic Zones Act, 2005.]
"
690,"[Deduction in respect of certain inter-corporate dividends].â€”Omitted by the Finance Act, 2003 (32 of 2003), s. 43 (w.e.f. 1-4-2004).
"
691,"[Deduction in the case of an Indian company in respect of royalties, etc., received from any concern in India].â€”Omitted by the Finance Act, 1983 (11 of 1983), s. 29 (w.e.f. 1-4-1984). Original section was inserted by the Finance Act, 1969 (14 of 1969), s. 9 (w.e.f. 1-4-1970).
"
692,"[Deduction in respect of dividends received from certain foreign companies].â€”Omitted by the Finance Act, 1985 (32 of 1985), s. 22 (w.e.f. 1-4-1986). Section 85B which was inserted by the Finance Act, 1966 (13 of 1966), s. 17 (w.e.f. 1-4-1966). Omitted section 80N was inserted in place of section 85B which was deleted by the Finance (No. 2) Act, 1967 (20 of 1967), s. 33 and the Third Schedule (w.e.f. 1-4-1968).
"
693,"2[Where the gross total income of an assessee, being an Indian company] 3[or a person (other than a company) who is resident in India],] includes 4[any income received by the assessee from the Government of a foreign State or foreign enterprise in consideration for the use outside India of any patent, invention, design or registered trade mark] 5*** 6[and such income is received in convertible foreign exchange in India, or having been received in convertible foreign exchange outside India, or having been converted into convertible foreign exchange outside India, is brought into India, by or on behalf of the assessee in accordance with any law for the time being in force for regulating payments and dealings in foreign exchange, there shall be allowed, in accordance with and subject to the provisions of this section, 7[a deduction of an amount equal toâ€”
(i) forty per cent. for an assessment year beginning on the 1st day of April, 2001;
(ii) thirty per cent. for an assessment year beginning on the 1st day of April, 2002;
(iii) twenty per cent. for an assessment year beginning on the 1st day of April, 2003;
(iv) ten per cent. for an assessment year beginning on the 1st day of April, 2004,
of the income so received in, or brought into, India, in computing the total income of the assessee and no deduction shall be allowed in respect of the assessment year beginning on the 1st day of April, 2005 and any subsequent assessment year]]:
1* * * * *
2[3[Provided] that such income is received in India within a period of six months from the end of the previous year, or 4[within such further period as the competent authority may allow in this behalf]:]
5[Provided further that no deduction under this section shall be allowed unless the assessee furnishes a certificate, in the prescribed form, along with the return of income, certifying that the deduction has been correctly claimed in accordance with the provisions of this section.]
6[Explanation.â€”For the purposes of this section,â€”
(i) â€œconvertible foreign exchangeâ€ means foreign exchange which is for the time being treated by the Reserve Bank of India as convertible foreign exchange for the purposes of the law for the time being in force for regulating payments and dealings in foreign exchange;
2[(ii) â€œforeign enterpriseâ€ means a person who is a non-resident;]]
7[(iii) services rendered or agreed to be rendered outside India shall include services rendered from India but shall not include services rendered in India;]
8[(iv) â€œcompetent authorityâ€ means the Reserve Bank of India or such other authority as is authorised under any law for the time being in force for regulating payments and dealings in foreign exchange.]
9* * * * *
"
694,"(1) Where, in the case of an assessee being a co-operative society, the gross total income includes any income referred to in sub- section (2), there shall be deducted, in accordance with and subject to the provisions of this section, the sums specified in sub-section (2), in computing the total income of the assessee.
(2) The sums referred to in sub-section (1) shall be the following, namely:â€”
(a) in the case of a co-operative society engaged inâ€”
(i) carrying on the business of banking or providing credit facilities to its members, or
(ii) a cottage industry, or
1[(iii) the marketing of agricultural produce grown by its members, or]
(iv) the purchase of agricultural implements, seeds, livestock or other articles intended for agriculture for the purpose of supplying them to its members, or
(v) the processing, without the aid of power, of the agricultural produce of its members, or
2[(vi) the collective disposal of the labour of its members, or
(vii) fishing or allied activities, that is to say, the catching, curing, processing, preserving, storing or marketing of fish or the purchase of materials and equipment in connection therewith for the purpose of supplying them to its members,]
the whole of the amount of profits and gains of business attributable to any one or more of such activities:
2[Provided that in the case of a co-operative society falling under sub-clause (vi), or sub-clause (vii), the rules and bye-laws of the society restrict the voting rights to the following classes of its members, namely:â€”
(1) the individuals who contribute their labour or, as the case may be, carry on the fishing or allied activities;
(2) the co-operative credit societies which provide financial assistance to the society;
(3) the State Government;]
3[(b) in the case of a co-operative society, being a primary society engaged in supplying milk, oilseeds, fruits or vegetables raised or grown by its members toâ€”
(i) a federal co-operative society, being a society engaged in the business of supplying milk, oilseeds, fruits, or vegetables, as the case may be; or
(ii) the Government or a local authority; or
(iii) a Government company as defined in section 617 of the Companies Act, 1956 (1 of 1956), or a corporation established by or under a Central, State or Provincial Act (being a company or corporation engaged in supplying milk, oilseeds, fruits or vegetables, as the case may be, to the public),
the whole of the amount of profits and gains of such business;]
(c) in the case of a co-operative society engaged in activities other than those specified in clause (a) or clause (b) (either independently of, or in addition to, all or any of the activities so specified), 4[so much of its profits and gains attributable to such activities as does not exceed,â€”
(i) where such co-operative society is a consumersâ€™ co-operative society, 1[one hundred thousand rupees]; and
(ii) in any other case, 2[fifty thousand rupees].
Explanation.â€”In this clause, â€œconsumersâ€™ co-operative societyâ€ means a society for the benefit of the consumers;]
(d) in respect of any income by way of interest or dividends derived by the co-operative society from its investments with any other co-operative society, the whole of such income;
(e) in respect of any income derived by the co-operative society from the letting of godowns or warehouses for storage, processing or facilitating the marketing of commodities, the whole of such income;
(f) in the case of a co-operative society, not being a housing society or an urban consumersâ€™ society or a society carrying on transport business or a society engaged in the performance of any manufacturing operations with the aid of power, where the gross total income does not exceed twenty thousand rupees, the amount of any income by way of interest on securities 3*** or any income from house property chargeable under section 22.
Explanation.â€”For the purposes of this section, an â€œurban consumersâ€™ co-operative societyâ€ means a society for the benefit of the consumers within the limits of a municipal corporation, municipality, municipal committee, notified area committee, town area or cantonment.
(3) In a case where the assessee is entitled also to the deduction under 4[5*** 6[section 80HH or section 80HHA] 7[or section 80HHB 8[or section 80HHC 9[or section 80HHD]]] 10[or section 80-I] 11[or section 80-IA]] 12*** 13***], the deduction under sub-section (1) of this section, in relation to the sums specified in clause (a) or clause (b) or clause (c) of sub-section (2), shall be allowed with reference to the income, if any, as referred to in those clauses included in the gross total income as reduced by the 14[deductions under 15[section 80HH, 16[section HHA, 17[section 80HHB, section HHC, 18[section 80HHD], section 80-I, 19[section 80-IA], 20[section 80J and section 80JJ]]].
1[(4) The provisions of this section shall not apply in relation to any co-operative bank other than a primary agricultural credit society or a primary co-operative agricultural and rural development bank.
Explanation.â€”For the purposes of this sub-section,â€”
(a) â€œco-operative bankâ€ and â€œprimary agricultural credit societyâ€ shall have the meanings respectively assigned to them in Part V of the Banking Regulation Act, 1949 (10 of 1949);
(b) â€œprimary co-operative agricultural and rural development bankâ€means a society having its area of operation confined to a taluk and the principal object of which is to provide for long-term credit for agricultural and rural development activities.]
"
695,"(1) Where the gross total income of an assessee, being a Producer Company having a total turnover of less than one hundred crore rupees in any previous year, includes any profits and gains derived from eligible business, there shall, in accordance with and subject to the provisions of this section, be allowed, in computing the total income of the assessee, a deduction of an amount equal to one hundred per cent. of the profits and gains attributable to such business for the previous year relevant to an assessment year commencing on or after the 1st day of April, 2019, but before the 1st day of April, 2025.
(2) In a case where the assessee is entitled also to deduction under any other provision of this Chapter, the deduction under this section shall be allowed with reference to the income, if any, as referred to in this section included in the gross total income as reduced by the deductions under such other provision of this Chapter.
Explanation.â€”For the purposes of this section,â€”
(i) â€œeligible businessâ€ meansâ€”
(a) the marketing of agricultural produce grown by the members; or
(b) the purchase of agricultural implements, seeds, livestock or other articles intended for agriculture for the purpose of supplying them to the members; or
(c) the processing of the agricultural produce of the members;
(ii) â€œmemberâ€ shall have the meaning assigned to it in clause (d) of section 581A of the Companies Act, 1956;
(iii) â€œProducer Companyâ€ shall have the meaning assigned to it in clause (l) of section 581A of the Companies Act, 1956.]
"
